,Name,Address,City,Province,Link
74,Braid Barbers - Leamington Spa,"74 Warwick Street, Leamington Spa, ENG, CV32 4QG",Leamington-Spa,England,https://getsquire.com/discover/barbershop/braid-barbers-leamington-spa-leamington-spa
75,Squire for Men - Station Road,"18 Station Road, Leeds, ENG, LS18 5NR",Leeds,England,https://getsquire.com/discover/barbershop/squire-for-men-station-road-leeds
76,Squire for men - Town Street,"91 Town Street, Leeds, ENG, LS18 5BP",Leeds,England,https://getsquire.com/discover/barbershop/squire-for-men-town-street-leeds
77,0ne. Barbershop,"15 Isabel Lane, Leicester, ENG, LE8 0QQ",Leicester,England,https://getsquire.com/discover/barbershop/0ne-barbershop-leicester
78,Headcase Barbers - Leicester,"49 Market Street, Leicester, ENG, LE1 6DN",Leicester,England,https://getsquire.com/discover/barbershop/headcase-barbers-leicester-england
79,CrookedGent Barbershop,"53-55 Belgrave Gate, Leicester, ENG, LE1 3HR",Leicester,England,https://getsquire.com/discover/barbershop/crookedgent-barbershop-leicester
80,ROOTS/CO.,"181 Blackbird Rd, Leicester, ENG, LE4 0AL",Leicester,England,https://getsquire.com/discover/barbershop/roots-co-leicester
81,Styled by Arya,"92 The Parade, Leicester, ENG, LE2 5BF",Leicester,England,https://getsquire.com/discover/barbershop/styled-by-arya-oadby
82,Cartel’s,"6 Loseby Lane, Leicester, ENG, LE1 5DR",Leicester,England,https://getsquire.com/discover/barbershop/cartels-leicester
83,The Stags Head Barbers,"45 Western Boulevard, Leicester, ENG, LE2 7HN",Leicester,England,https://getsquire.com/discover/barbershop/the-stags-head-barbers-leicester
84,HellRazor Barbershop,"55 Railway Road, Leigh, ENG, WN7 4AD",Leigh,England,https://getsquire.com/discover/barbershop/hellrazor-barbershop-leigh
85,Kasthebarber,"139 Hillfoot Road, Liverpool, ENG, L25 0ND",Liverpool,England,https://getsquire.com/discover/barbershop/kasthebarber-liverpool
86,Privé by Dan Gregory,"Unit 6, 10-14 Jamaica Street, Liverpool, ENG, L1 0AF",Liverpool,England,https://getsquire.com/discover/barbershop/prive-by-dan-gregory-liverpool
87,Neil Smith Men’s Hair,"303 Aigburth Road, Liverpool, ENG, L17 0BJ",Liverpool,England,https://getsquire.com/discover/barbershop/neil-smith-mens-hair-liverpool
88,The Barbershop Dale Street,"64 dale street, Liverpool, ENG, L2 5ST",Liverpool,England,https://getsquire.com/discover/barbershop/the-barbershop-dale-street-liverpool
89,Thedapperhorse,"199 southfield road, London, ENG, W4 5LB",London,England,https://getsquire.com/discover/barbershop/thedapperhorse-chiswick
90,Champs Barbers - London Bridge,"4-6 London Bridge, London, ENG, SE1 9SG",London,England,https://getsquire.com/discover/barbershop/champs-barbers-london-bridge-london
91,The Barber’s Lounge,"Unit 0.03 World Trade Center, London, ENG, SW19 2BU",London,England,https://getsquire.com/discover/barbershop/the-barbers-lounge-gibraltar
92,Groomed Barber Club - London,"334-348 Oxford Street, London, ENG, W1C 1JG",London,England,https://getsquire.com/discover/barbershop/groomed-barber-club-london-marylebone
93,Envy Barbers - Chingford,"100 Chingford Mount Road, London, ENG, E4 9AA",London,England,https://getsquire.com/discover/barbershop/envy-barbers-chingford-london
94,Rockerfella Barbers,"44 Middlesex St,, London, ENG, E1 7EX",London,England,https://getsquire.com/discover/barbershop/rockerfella-barbers-london
95,Kreate Barbershop,"Unit 4, London, ENG, E16 2RD",London,England,https://getsquire.com/discover/barbershop/kreate-barbershop-greater-london
96,Island Oasis Inc,"111 Plaistow Road, London, ENG, E15 3ET",London,England,https://getsquire.com/discover/barbershop/island-oasis-inc-west-ham-london
97,House Of Selected,"22 Caledonian Road, London, ENG, N1 0RU",London,England,https://getsquire.com/discover/barbershop/house-of-selected-london
98,TRUTH FOR MEN,"235 Nether Street, London, ENG, N3 1NT",London,England,https://getsquire.com/discover/barbershop/truth-for-men-west-finchley
99,BELMONT STORES,"115 Hoe Street, London, ENG, E17 4RX",London,England,https://getsquire.com/discover/barbershop/belmont-stores-walthamstow
100,Barber Social,"6 - 9 West Park Walk, London, ENG, E20 1DG",London,England,https://getsquire.com/discover/barbershop/barber-social-london
101,Donnelly's Barber Shop,"73 Ladywell Road, London, ENG, SE13 7JA",London,England,https://getsquire.com/discover/barbershop/donnellys-barber-shop-london
102,Classique Barbers,"119 Anerley Road, London, ENG, SE20 8FE",London,England,https://getsquire.com/discover/barbershop/classique-barbers-london
103,Champs Barbers - Oxford Circus,"21 Berners mews, London, ENG, W1T 3AJ",London,England,https://getsquire.com/discover/barbershop/champs-barbers-oxford-circus-london
104,The Royal Barber Kensington,"3 Kensington High Street, London, ENG, W8 5NP",London,England,https://getsquire.com/discover/barbershop/the-royal-barber-kensington-kensington
105,Shape Shifters Hair Design,"155 South Ealing road, London, ENG, W5 4QP",London,England,https://getsquire.com/discover/barbershop/shape-shifters-hair-design-london
106,Headcase Barbers - Greenwich,"10 Little Thames Walk, London, ENG, SE8 3FB",London,England,https://getsquire.com/discover/barbershop/headcase-barbers-greenwich-england
107,Zayn the Clipper - Canning Town,"13a Minnie Baldock Street, London, ENG, E16 1YE",London,England,https://getsquire.com/discover/barbershop/zayn-the-clipper-canning-town-canning-town
108,Cardinale Collective,"131 kings cross road, London, ENG, WC1X 9BJ",London,England,https://getsquire.com/discover/barbershop/cardinale-collective-kings-cross
109,Well Groomed,"117 mare street, London, ENG, E8 1HY",London,England,https://getsquire.com/discover/barbershop/well-groomed-e84ru
110,Little fidgets Loughton,"7b forest road, Loughton, ENG, IG10 1DR",Loughton,England,https://getsquire.com/discover/barbershop/little-fidgets-loughton-loughton
111,Trendz Hair Design,"21a George street Luton, Luton, ENG, LU1 2AF",Luton,England,https://getsquire.com/discover/barbershop/trendz-hair-design-luton
112,Bonds Barbershop - Lymington,"2 High Street, Lymington, ENG, SO41 9FT",Lymington,England,https://getsquire.com/discover/barbershop/bonds-barbershop-lymington-lymington
113,Fargs - Maidstone,"17 Pudding Lane, Maidstone, ENG, ME14 1PA",Maidstone,England,https://getsquire.com/discover/barbershop/fargs-maidstone-maidstone
114,Profound Salon,"17 Edwards walk, Maldon, ENG, CM9 5PS",Maldon,England,https://getsquire.com/discover/barbershop/profound-salon-maldon
115,Barber Collective,"221 Droylsden Road, Manchester, ENG, M34 5ZT",Manchester,England,https://getsquire.com/discover/barbershop/barber-collective-manchester
116,Jefe’s Barbers,"38 Spear Street, Manchester, ENG, M1 1AS",Manchester,England,https://getsquire.com/discover/barbershop/jefes-barbers-manchester
117,Howards Barbershop,"36 Fountain Street, Manchester, ENG, M24 1AF",Manchester,England,https://getsquire.com/discover/barbershop/howards-barbershop-middleton
118,Oliver's,"148 Burton Road, Manchester, ENG, M20 1LH",Manchester,England,https://getsquire.com/discover/barbershop/olivers-west-didsbury-m20-1lh
119,Studio barbers,"44 high Street, Milton Keynes, ENG, MK13 0BT",Milton-Keynes,England,https://getsquire.com/discover/barbershop/studio-barbers-milton-keynes
120,Braid Barbers - Milton Keynes,"769 Midsummer Boulevard, Milton Keynes, ENG, MK9 3BG",Milton-Keynes,England,https://getsquire.com/discover/barbershop/braid-barbers-milton-keynes-milton-keynes
121,Headcase Barbers - Newbury,"32a Northbrook Street, Newbury, ENG, RG14 1DJ",Newbury,England,https://getsquire.com/discover/barbershop/headcase-barbers-newbury-newbury
122,Flux and Co. Barbershop,"121-123 High Street, Newcastle, ENG, ST5 1PS",Newcastle,England,https://getsquire.com/discover/barbershop/flux-and-co-barbershop-newcastle-under-lyme
123,Webster & Carr,"11 The Gosforth Centre, Newcastle upon Tyne, ENG, NE3 1JZ",Newcastle-Upon-Tyne,England,https://getsquire.com/discover/barbershop/webster-and-carr-newcastle-upon-tyne
124,Headcase Barbers - Nuneaton,"1-2 Abbey Street, Nuneaton, ENG, CV11 5BP",Nuneaton,England,https://getsquire.com/discover/barbershop/headcase-barbers-nuneaton-england
125,Cut Throat Kenny - Royton,"86 Rochdale Road, Oldham, ENG, OL2 6QF",Oldham,England,https://getsquire.com/discover/barbershop/cut-throat-kenny-royton-oldham
126,Danny&Co. Barbers Shaw Ltd.,"86 Milnrow Road, Oldham, ENG, OL2 8EE",Oldham,England,https://getsquire.com/discover/barbershop/danny-and-co-barbers-shaw-ltd-oldham
127,Bestkeptsecret,"106b Huddersfield Road, Oldham, ENG, OL4 2AH",Oldham,England,https://getsquire.com/discover/barbershop/bestkeptsecret-oldham
128,The Barbers Lounge,"105 Winner Street, Paignton, ENG, TQ3 3BP",Paignton,England,https://getsquire.com/discover/barbershop/the-barbers-lounge-paignton
129,Meydei,"Unit 5c Wharf Road Industrial Estate, Peterborough, ENG, PE2 9LR",Peterborough,England,https://getsquire.com/discover/barbershop/meydei-peterborough
130,The Projects Plymouth,"122 Cornwall Street, Plymouth City Centre, Plymouth, ENG, PL1 1PA",Plymouth,England,https://getsquire.com/discover/barbershop/the-projects-plymouth-plymouth
131,Barber Wright,"2 Lake Road, Plymouth, ENG, PL9 9RA",Plymouth,England,https://getsquire.com/discover/barbershop/barber-wright-england
132,MTE Barbering Academy,"26 Wimborne Road, Poole, ENG, BH15 2BU",Poole,England,https://getsquire.com/discover/barbershop/mte-barbering-academy-poole
133,MTE Hair Academy,"8 Tatanam Crescent, Poole, ENG, BH15 2DR",Poole,England,https://getsquire.com/discover/barbershop/mte-hair-academy-poole
134,Bonds Barbershop - Poole,"30 Longfleet Rd, Poole, ENG, BH15 2JA",Poole,England,https://getsquire.com/discover/barbershop/bonds-barbershop-poole-poole
135,BARBA,"42 Ormskirk Rd, Preston, ENG, PR1 2QP",Preston,England,https://getsquire.com/discover/barbershop/barba-preston
136,Ace of Fades,"1 brook house,, Pulborough, ENG, RH20 3NT",Pulborough,England,https://getsquire.com/discover/barbershop/ace-of-fades-pulborough
137,Luke Cutz - Collier Row,"170 Collier Row Road, Romford, ENG, RM5 2BD",Romford,England,https://getsquire.com/discover/barbershop/luke-cutz-collier-row-rm5-2bd
138,Hairforce1 - Romford,"54 London Road, Romford, ENG, RM7 9QX",Romford,England,https://getsquire.com/discover/barbershop/hairforce1-romford-romford
139,Freestylers Sheffield,"547, Rotherham, ENG, S9 1RQ",Rotherham,England,https://getsquire.com/discover/barbershop/freestylers-sheffield-sheffield
140,Richard Clarkson,"37 High Street, Ruislip, ENG, HA4 7AU",Ruislip,England,https://getsquire.com/discover/barbershop/richard-clarkson-ruislip
141,Luke & Company Barbershop,"37 High Street, Ruislip, ENG, HA4 7AU",Ruislip,England,https://getsquire.com/discover/barbershop/luke-and-company-barbershop-ruislip
142,Klipstar Studio,"74 Park Way, Ruislip, ENG, HA4 8NR",Ruislip,England,https://getsquire.com/discover/barbershop/klipstar-studio-ruislip
143,Handsome,"127, Sale, ENG, M33 5RE",Sale,England,https://getsquire.com/discover/barbershop/handsome-ashford
144,Siva Co,"187 Washway road, Sale, ENG, M33 4AH",Sale,England,https://getsquire.com/discover/barbershop/siva-co-manchester
145,98barbers,"24 Northampton Road, Scunthorpe, ENG, DN16 1UJ",Scunthorpe,England,https://getsquire.com/discover/barbershop/98barbers-scunthorpe
146,Club Thirteen - Seaham,"Fit 24 seaham, Seaham, ENG, SR7 7ND",Seaham,England,https://getsquire.com/discover/barbershop/club-thirteen-seaham-seaham
147,Selby,"8 The Crescent, Selby, ENG, YO8 4PD",Selby,England,https://getsquire.com/discover/barbershop/selby-selby
148,Faded Barbers Selby,"50 Micklegate, Selby, ENG, YO8 4EQ",Selby,England,https://getsquire.com/discover/barbershop/faded-barbers-selby-selby
149,Illicit Studios,"46 Flaxley Road, Selby, ENG, YO8 4BW",Selby,England,https://getsquire.com/discover/barbershop/illicit-studios-selby
150,Fargs - Sevenoaks,"47 High Street, Sevenoaks, ENG, TN13 1JF",Sevenoaks,England,https://getsquire.com/discover/barbershop/fargs-sevenoaks-sevenoaks
151,Slingers Barbershop - Sevenoaks,"75a High Street, Sevenoaks, ENG, TN13 1LD",Sevenoaks,England,https://getsquire.com/discover/barbershop/slingers-barbershop-sevenoaks-sevenoaks
152,Taylor Taylor Barbershop - Division St,"20 Division St, Sheffield, ENG, S1 4GF",Sheffield,England,https://getsquire.com/discover/barbershop/taylor-taylor-barbershop-division-st-sheffield
153,J's Barbershop,"3 Wicker, Sheffield, ENG, S3 8HS",Sheffield,England,https://getsquire.com/discover/barbershop/js-barbershop-sheffield
154,Taylor Taylor Barbershop - Surrey St,"47 Surrey street, Sheffield, ENG, S1 2LG",Sheffield,England,https://getsquire.com/discover/barbershop/taylor-taylor-barbershop-surrey-st-sheffield
155,Renegade Barbershop,"93 Station Road, Sheffield, ENG, S35 2XF",Sheffield,England,https://getsquire.com/discover/barbershop/renegade-barbershop-sheffield
156,Headcase Barbers - Shrewsbury,"20 St Mary's Street, Shrewsbury, ENG, SY1 1ED",Shrewsbury,England,https://getsquire.com/discover/barbershop/headcase-barbers-shrewsbury-england
157,No Forty Seven Barbers,"47a high street, Slough, ENG, SL3 8NF",Slough,England,https://getsquire.com/discover/barbershop/no-forty-seven-barbers-slough
158,Lightworks Barbershop,"10 Knightsbridge Road, Solihull, ENG, B92 8RL",Solihull,England,https://getsquire.com/discover/barbershop/lightworks-barbershop-olton-solihull
159,Ace Cutz,"177 Norwood Road, Southall, ENG, UB2 4JD",Southall,England,https://getsquire.com/discover/barbershop/ace-cutz-southhall
160,Crowns Barbers & Co,"63 Bedford Pl, Southampton, ENG, SO15 2DS",Southampton,England,https://getsquire.com/discover/barbershop/crowns-barbers-and-co-southampton
161,Cresswell Barber Co.,"385 Shirley Road, Southampton, ENG, SO15 3JD",Southampton,England,https://getsquire.com/discover/barbershop/cresswell-barber-co-southampton
162,REALTALK Barbershop,"103a Kensington Road, Southport, ENG, PR9 0RZ",Southport,England,https://getsquire.com/discover/barbershop/realtalk-barbershop-southport
163,House Of Mojos,"136 Cambridge Rd, Southport, ENG, PR9 9RZ",Southport,England,https://getsquire.com/discover/barbershop/house-of-mojos-churchtown
164,Headline Barbers,"58 Fawcett Road, Southsea, ENG, PO4 0DN",Southsea,England,https://getsquire.com/discover/barbershop/headline-barbers-portsmouth
165,Vault Male Image,"25 Trinity Street, St. Austell, ENG, PL25 5LS",St.-Austell,England,https://getsquire.com/discover/barbershop/vault-male-image-st-austell
166,TRMD,"138 Western Road, St. Leonards-on-Sea, ENG, TN37 6DQ",St.-Leonards-On-Sea,England,https://getsquire.com/discover/barbershop/trmd-bn12la
167,Taper’d,"6a woodhall road, Stockport, ENG, SK5 7QH",Stockport,England,https://getsquire.com/discover/barbershop/taperd-stockport
